Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-IG-A8O2-01A	0.0106904411447943	0	0	0.355349640601505	0	0	0.0673644462781945	0.130686694481389	0.0638095985969106	0	0	0.0415085208212096	0.0225915960603614	0	0.0602661267729853	0.0916748869683325	0.0449919615359608	0.0623618574121574	0.0487042293262006	0	0	0	0.005	0.289547962616354	0.977822183868321
TCGA-V5-A7RC-01B	0.0324368663987465	0	0.00624961296700542	0	0	0.421446288793672	0	0.00515242696691173	0	0.00459094386036603	0.0446115671280463	0	0	0.139477750248241	0.11109064803356	0.154205764368301	0	0.0435192320988664	0.00358000751721908	0.0129474010698563	0	0.0206914905492084	0.047	0.148720753255322	1.04146410829978
TCGA-VR-A8Q7-01A	0.0218337255281438	0	0.0298685376438272	0.17839723275283	0	0.137818764874303	0.0941874967398363	0.00619591852847962	0.0115348875607409	0	0	0.026752443443258	0	0.167336813891488	0.095535259698206	0.126352405675196	0.00774596489353082	0.042404056255925	0.0459603155782094	0	0	0.00807617693602572	0.016	0.208772097308435	1.00525224017153
TCGA-JY-A939-01A	0.0623602999391583	0	0.0904892711303202	0.134103886635431	0	0.250468812590002	0.0434997133415563	0	0.0605037231073524	0	0.0153147652484836	0.00231141387355766	0	0.0648827792303897	0.1289544892172	0.0930733710268582	0	0	0.0540374746596907	0	0	0	0	0.397634275483711	0.917800334766354
TCGA-L5-A4OJ-11A	0.104374371590345	0	0.147519151853605	0.0815862113698825	0	0.259648108782556	0	0.038183512081008	0	0	0	0.0289051592341183	0.0109151521426795	0.0219537753542866	0.0346263295308178	0.042976535021893	0.00338311892245331	0.00327817666175321	0.222650397454601	0	0	0	0.154	0.0901504224332909	1.04623088556109
TCGA-L5-A4OX-01A	0.0818891444804075	0	0	0.0969951890953313	0	0.262728050870282	0.100311591541374	0.0764773449990969	0	0	0.0485040108417318	0.00414418884384043	0.0070526047251005	0.0393349567808737	0.0602615482670238	0.075816182490594	0	0.0903139209893624	0.056171266074982	0	0	0	0.215	0.0717120301698511	1.06494058745998
TCGA-L5-A4OU-01A	0.0225212114943272	0	0.0290213623902247	0.119304949105185	0	0.0225945679541145	0.181786100107765	0.0100515725346744	0.0126253556148889	0.0586071725979442	0.0905708718048599	0	0	0.0389237212394814	0.12813509283601	0.152952966841524	0.00922483315379701	0.0706461633748141	0.0530331884683029	0	0	8.70482086690979e-07	0	0.412017262812697	0.911824223805281
TCGA-IC-A6RE-11A	0.294037053757502	0	0.0210869343380747	0.120993751803459	0	0.127493675738504	0	0.0167315663359372	0.114254175695304	0	0	0.0165791841944345	0.00855818706970819	0.0493680641759121	0.000313704577234377	0.0146300793736806	0.10655661144755	0.0398500736208703	0.0695469378718286	0	0	0	0.324	0.0506757878270837	1.07205564798809
TCGA-R6-A8WG-01A	0.0663157591806021	0	0.0642476741678087	0.0230122848570193	0	0.113346414202078	0.00252483316236102	0.0611396053665771	0.114301792252214	0	0.01760910631278	0	0	0.38873489080056	0.0491281568310111	0.0742559262771052	0	0	0.0215546842663177	0.0038288723235647	0	0	0.003	0.309582061555381	0.968308887087947
TCGA-L5-A8NV-01A	0.0877779477108218	0.0150619295993321	0.0809614340997628	0.0844421013006986	0	0.194956107465815	0	0	0.0995886577340336	0	0	0.0310108568159555	0.00471312427017231	0.0847541231780316	0.0475928416069654	0.0825344101262364	0.0584296155676229	0.000867614738364031	0.118527442158002	0	0	0.00878179362818581	0.014	0.21664119875013	0.990050148480381
