ID	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Eosinophil	Gamma delta T cell	Immature  B cell	Immature dendritic cell	Macrophage	Mast cell	Memory B cell	Monocyte	Myeloid derived suppressor cell	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell
TCGA-CR-7401-01A	-0.204822538690588	0.166617755379132	0.217514955350567	0.236724140742686	0.323850085267789	0.336719630395242	0.551957593091622	0.392401548654422	0.209992582014813	0.213601417656814	-0.171082050772637	0.320070569032636	-0.0762383653237497	0.380042861625366	0.0173016932763033	0.131125057178878	0.118964239759105	0.343256299234052	0.293249115886082	0.277949161774354	0.120057946846427	0.01240854987085	0.395608170481343	0.186577409162277	0.170681422777261	0.156508351443059	0.00829924121797051	0.16215670023582
TCGA-CV-5436-01A	-0.207421985351201	0.254532801117472	0.252884096692416	0.249773044693565	0.328519598201816	0.314825237341178	0.513614269888927	0.309068567263919	0.181213354988463	0.164573502750098	-0.110164928307322	0.300558803023915	-0.133682363759466	0.320530702851913	-0.0625114333088779	0.0291460715394619	0.126294731102006	0.346817187310689	0.249098053525225	0.199381638572246	0.109481908655689	-0.060237991215711	0.357873496650888	0.185220131493478	0.102057823109001	0.118904507063016	-0.0653193900928177	0.196874772772606
TCGA-BA-5556-01A	-0.000244946710447429	0.350651321482099	0.468531540820114	0.32142263331013	0.313058671371577	0.331766883017655	0.565017139987554	0.353639633775921	0.175825518079894	0.349411242222795	-0.115804666805354	0.347306644097498	0.116223616837341	0.39113878354918	0.0414538993942289	0.042235990663744	0.116086527849747	0.396401289096153	0.492105855795994	0.329620088975823	0.157341573645306	0.0464008173447244	0.365047343624368	0.273118142215374	0.240996526720669	0.217937410030137	0.0381311896622421	0.199431445454812
TCGA-F7-8489-01A	-0.081303839276206	0.333605798949484	0.392872176101486	0.291059328896752	0.316848411001703	0.370240319524528	0.571219533170021	0.367701699469921	0.16449173347153	0.312758161025038	-0.0614159399833584	0.299602796145038	0.0447692213760231	0.383343222667374	0.0669025566308903	-0.000511876401478158	0.161246866235252	0.357207194552953	0.398690249549057	0.31779066754489	0.120480568735128	-0.0830615775486883	0.389396750737278	0.217425908814691	0.194076563859723	0.185854674484852	0.0256439158103579	0.171897012564541
TCGA-CV-7095-01A	-0.248788019887935	0.189477241743416	0.197534146481555	0.248040733423921	0.32144306375423	0.328131961061061	0.534407070291396	0.35275693872303	0.147074664380583	0.185805250877233	-0.184051905060386	0.300460762343216	-0.0335634962745558	0.366880201763106	-0.0776551626611603	-0.0882364777375366	0.101150531770034	0.338653366504267	0.295623474054969	0.253928725917431	0.135860979535436	-0.0362216026020673	0.348593049284738	0.18143174126149	0.133124189931732	0.0944031171540109	0.00588104095207516	0.150292349169535
TCGA-CV-A6JM-01A	-0.216958426581015	0.132372046310359	0.24912684503558	0.213864047969862	0.306237263673937	0.336089144652971	0.461821033728433	0.337331754296904	0.119447083652517	0.1511866582576	-0.157403794360106	0.322044582313605	-0.113026504615779	0.334045245479744	0.0414144125792889	0.00695173365360079	0.0560273807521143	0.340989061937759	0.347592194227979	0.172848592517687	0.0936944156244396	-0.0191617793966277	0.361404131922145	0.194948797589988	0.103824495694124	0.111093061448061	0.0425426247632361	0.0779964957243726
TCGA-CV-7253-01A	-0.347308177139785	0.124992102141847	0.139511834155726	0.186959670211744	0.3175317976675	0.318846911532004	0.479069455523722	0.299848490612534	0.0801152039134679	0.109684919090547	-0.144440148714302	0.288836009453327	-0.142102230324683	0.356463822162771	-0.1333950311159	-0.0433419706435851	0.0738006736265077	0.313510166317628	0.100406360951759	0.194292701876857	0.0696701612399211	-0.129295485110118	0.336905121868607	0.032117518270065	0.0470647757673611	0.0415117636152313	-0.0623475955226535	0.124445133643267
TCGA-CN-A499-01A	-0.125785712462481	0.389106042276008	0.404381417855915	0.276886171710936	0.339568271140974	0.348276473967748	0.536454670432655	0.341953997559681	0.184360272884005	0.297815970068965	-0.151669383591032	0.318132330651493	0.0468404558059629	0.399600787149174	0.00457584612324375	0.0196530283661431	0.0702344157003106	0.320192787353312	0.414411394838279	0.249949597467491	0.126254863807558	-0.0134325154731124	0.392232631202076	0.239171872456773	0.151854856428971	0.170901010974847	0.00494902692872999	0.240228243214229
TCGA-CQ-A4C6-01A	-0.203577353135861	0.28291807173018	0.299289582334406	0.239994407941508	0.347370752612055	0.343083705911149	0.547352930714574	0.357015473136726	0.203580841365265	0.264703261656058	-0.123393840587137	0.320681940010304	-0.0114025900856487	0.350957207975847	-0.00578286080136045	0.0850826749974589	0.0948473647054335	0.317041776846877	0.370483693031088	0.266210905346464	0.128890387548698	0.0869857065806102	0.397637310289384	0.226606260354993	0.192424288246499	0.129902034124455	-0.0121060029755014	0.174145689955655
TCGA-BA-6873-01A	-0.188582201282639	0.281205193384206	0.285577162171115	0.214522315044453	0.335779917987615	0.293985229352002	0.526446580039988	0.370817148121967	0.182095799232955	0.217017119225009	-0.15954524752113	0.30843785393048	-0.0329546122920034	0.354966235663813	-0.00882425681169362	-0.0640471666007873	0.0880865437915999	0.347854841251558	0.323478548759976	0.292515721597965	0.140914925850891	-0.0656252129567346	0.338728032733552	0.179881911335184	0.158085201412444	0.137999721031157	-0.0210758473518197	0.14833920566882
TCGA-CV-6441-01A	-0.375302057656715	0.22047274401683	0.183086626871419	0.23448092846886	0.341609072062256	0.375337199044328	0.467618078568896	0.301913176858945	0.133036515041621	0.0974954786152641	-0.248778358862416	0.218930245213121	-0.126452619290632	0.360659680673053	-0.069139014003992	-0.13122397946441	0.0651272213060107	0.352515672804701	0.178111340107578	0.218275833568916	0.0772231835664818	-0.21638984779929	0.308002081975822	-0.0385202802924872	0.0511931650119639	0.0687066843608755	-0.0366221750388413	0.14445226110847
TCGA-CV-7434-01A	-0.291085152497614	0.277540444692852	0.243139342678739	0.223063251788576	0.320214553513398	0.295305253234934	0.531420437896985	0.33819266553536	0.167066479322392	0.216695998957042	-0.128253715700655	0.291328484633019	-0.059617058211119	0.366001704912361	0.0114820583535964	-0.0470486097506959	0.0700406741419961	0.32813680880887	0.337469017839777	0.232757550404936	0.159604242364501	-0.0104343922359932	0.338661275215229	0.189313785138419	0.139289086880844	0.127543317531752	-0.0514121824307926	0.179985556310135
